time_stamp,air_temperature,humidity,co2,ec,pH,water_temperature
1573596005,81.6,70.7,1080,1998,6.09,73.1
1573596065,81.7,70.6,1089,1998,6.09,73.1
1573596125,81.9,70.1,1100,1997,6.08,73.1
1573596185,81.9,69.7,1108,2001,6.08,73.2
1573596245,81.9,70,1116,2006,6.08,73.3
1573596305,81.8,70.8,1125,2008,6.08,73.3
1573596365,81.9,70.8,1128,2018,6.08,73.3
1573596425,82.1,70.2,1131,2021,6.08,73.3
1573596485,82.1,69.8,1126,2022,6.08,73.3
1573596545,82,69.7,1118,2022,6.08,73.3
1573596605,81.9,70.6,1112,2022,6.08,73.3
1573596665,81.9,70.6,1101,2021,6.08,73.3
1573596725,81.9,70.3,1097,2021,6.08,73.3
1573596785,82.1,69.7,1083,2021,6.08,73.4
1573596845,82.1,70,940,2020,6.08,73.5
1573596905,82,70.7,1061,2019,6.08,73.5
1573596965,82,70.1,1053,2020,6.08,73.5
1573597025,82,69.6,1041,2019,6.08,73.5
1573597085,82,70.4,1030,2019,6.08,73.5
1573597145,82,70.7,1024,2019,6.08,73.5
1573597205,82,69.9,1025,2018,6.08,73.5
1573597265,82.1,70,1026,2017,6.08,73.5
1573597325,82,70.8,1030,2018,6.08,73.5
1573597385,82.1,70.4,1034,2017,6.08,73.5
1573597445,82.2,70,1030,2017,6.08,73.7
1573597505,82.3,70.1,1042,2015,6.09,73.7
1573597565,82.4,70.9,1051,2015,6.09,73.7
1573597625,82.4,71,1053,2014,6.09,73.7
1573597685,82.5,70.8,1044,2014,6.09,73.7
1573597745,82.6,70.5,1037,2014,6.09,73.7
1573597805,82.8,70.2,1040,2013,6.09,73.7
1573597865,82.8,69.9,1042,2013,6.09,73.7
1573597925,82.7,70.2,1052,2013,6.09,73.7
1573597985,82.6,70.5,1066,2012,6.08,73.8
1573598045,82.7,70,1072,2013,6.09,73.8
1573598105,82.7,70,1076,2012,6.08,73.9
1573598165,82.6,70.4,1088,2012,6.1,73.8
1573598225,82.6,70.4,1089,2011,6.1,73.8
1573598285,82.7,70,1082,2011,6.1,73.8
1573598345,82.8,69.8,1067,2011,6.1,73.8
1573598405,82.8,70.5,1067,2010,6.09,73.9
1573598465,82.7,70.4,1066,2010,6.09,73.8
1573598525,82.8,70.3,1069,2010,6.09,74
1573598585,83,70.1,1074,2008,6.09,74
1573598645,83,69.8,1079,2008,6.09,74
1573598705,83,70.3,1081,2008,6.09,74
1573598765,82.9,70.8,1099,2007,6.09,74
1573598825,83,70.5,1108,2007,6.09,74
1573598885,83.215,70.2,1106,2006,6.09,74
1573598945,83.1,69.8,1095,2006,6.09,74
1573599005,83.1,70.1,1147,2006,6.09,74
1573599065,83,70.8,1140,2007,6.09,74.2
